alpha,Method,Absolute Error,Relative Error
-50,penalty,0.011934895,0.9933238
-50,ALM,0.023383074,0.9737762
-50,SQP,0.009680103,0.3798222
-40,penalty,0.030307751,0.97811335
-40,ALM,0.027788078,0.9724721
-40,SQP,0.00627935,0.22584885
-30,penalty,0.03337999,0.95365304
-30,ALM,0.035043634,0.9272384
-30,SQP,0.00722827,0.24334697
-20,penalty,0.01971968,0.5138549
-20,ALM,0.01888703,0.5459893
-20,SQP,0.006836874,0.18403849
-10,penalty,0.00718506,0.09525522
-10,ALM,0.012265447,0.16082238
-10,SQP,0.00645285,0.084420756
-1,penalty,0.005246395,0.017911486
-1,ALM,0.005127348,0.017439716
-1,SQP,0.005124746,0.017467033
1,penalty,0.004920998,0.014132087
1,ALM,0.005037752,0.014314097
1,SQP,0.005598868,0.016332794
10,penalty,0.07628997,0.15504271
10,ALM,0.008796599,0.017521294
10,SQP,0.009226938,0.020441175
20,penalty,0.37087756,0.6155559
20,ALM,0.36013904,0.60195786
20,SQP,0.013203643,0.02468464
30,penalty,0.43385857,0.6261637
30,ALM,0.37658525,0.58322203
30,SQP,0.012134598,0.02516985
40,penalty,0.45280752,0.6231189
40,ALM,0.41531146,0.5951955
40,SQP,0.011090655,0.022651443
50,penalty,0.48492733,0.64548707
50,ALM,0.43982893,0.604278
50,SQP,0.028908605,0.059573315
