alpha,Method,Absolute Error,Relative Error
-50,penalty,0.00778502,0.9995487
-50,ALM,0.016806984,0.97600967
-50,SQP,0.001933309,0.18442076
-40,penalty,0.009243236,0.9971551
-40,ALM,0.011527076,1.0087107
-40,SQP,0.002706639,0.19586611
-30,penalty,0.025102425,0.7113928
-30,ALM,0.020761868,0.62215245
-30,SQP,0.001989984,0.119998924
-20,penalty,0.006295729,0.2494341
-20,ALM,0.006069574,0.22294354
-20,SQP,0.001724356,0.061605994
-10,penalty,0.00265498,0.049171433
-10,ALM,0.003469826,0.048590355
-10,SQP,0.001991857,0.035400197
-1,penalty,0.007557724,0.06320064
-1,ALM,0.007334019,0.064302236
-1,SQP,0.002367567,0.024541494
1,penalty,0.009032669,0.03925733
1,ALM,0.008058906,0.03581775
1,SQP,0.00388269,0.020954201
10,penalty,0.01732576,0.0395803
10,ALM,0.011154526,0.021299647
10,SQP,0.008797251,0.01987628
20,penalty,0.03641328,0.068362385
20,ALM,0.030014038,0.055390853
20,SQP,0.002562705,0.00655235
30,penalty,0.044853203,0.080183156
30,ALM,0.044099983,0.09407876
30,SQP,0.014101074,0.026551178
40,penalty,0.26930517,0.427651
40,ALM,0.03845773,0.07551048
40,SQP,0.031501524,0.06281536
50,penalty,0.4417416,0.6118736
50,ALM,0.4957008,0.6329972
50,SQP,0.010122885,0.019904634
