tau,Method,Absolute Error,Relative Error
2,penalty,0.03641328,0.068362385
2,ALM,0.030014038,0.055390853
2,SQP,0.002562705,0.00655235
4,penalty,0.03636907,0.064221114
4,ALM,0.029673275,0.057353456
4,SQP,0.009570524,0.025512999
6,penalty,0.025255606,0.05043238
6,ALM,0.024771653,0.0484621
6,SQP,0.012446838,0.028570162
8,penalty,0.027194323,0.05341308
8,ALM,0.016479975,0.040297113
8,SQP,0.010330087,0.023098655
10,penalty,0.025323087,0.046750788
10,ALM,0.01820172,0.036962084
10,SQP,0.004209618,0.011878
