beta,Method,Absolute Error,Relative Error
-50,penalty,0.59451985,0.9638199
-50,ALM,0.6923356,1.156162
-50,SQP,0.062412877,0.33472246
-40,penalty,0.61722314,0.9817914
-40,ALM,0.77891296,1.3508424
-40,SQP,0.018017719,0.06690634
-30,penalty,0.62009364,0.98617995
-30,ALM,0.6378539,1.0196315
-30,SQP,0.022374932,0.057492863
-20,penalty,0.010774027,0.022415398
-20,ALM,0.0478475,0.09831487
-20,SQP,0.005120155,0.019010061
-10,penalty,0.004914631,0.012155419
-10,ALM,0.010663172,0.02273293
-10,SQP,0.003013936,0.016175462
-1,penalty,0.006365768,0.013808139
-1,ALM,0.00550751,0.012601237
-1,SQP,0.001166401,0.002772178
1,penalty,0.003310032,0.006227271
1,ALM,0.009151002,0.016779492
1,SQP,0.001017972,0.002141976
10,penalty,0.006908459,0.016359745
10,ALM,0.009610165,0.021307273
10,SQP,0.002498853,0.006074649
20,penalty,0.069581926,0.21493787
20,ALM,0.06270321,0.18444495
20,SQP,0.006559116,0.045482352
30,penalty,0.5157208,0.8746435
30,ALM,0.48209116,0.84787446
30,SQP,0.007236578,0.032146387
40,penalty,0.590384,0.9527146
40,ALM,0.7528072,1.3128638
40,SQP,0.015470857,0.05313434
50,penalty,0.6245245,1.0020541
50,ALM,0.656966,1.0558411
50,SQP,0.053662293,0.16742624
