NN Width,Method,Absolute Error,Relative Error
10,penalty,0.025727801,0.0502352
10,ALM,0.021350317,0.044436537
10,SQP,0.019129867,0.033635557
20,penalty,0.4064455,0.5868822
20,ALM,0.3583349,0.5483745
20,SQP,0.00618243,0.014078494
30,penalty,0.3642546,0.5570421
30,ALM,0.019342275,0.038412876
30,SQP,0.008528717,0.021089463
40,penalty,0.012304239,0.025315806
40,ALM,0.012765213,0.025416413
40,SQP,0.008644814,0.020470122
50,penalty,0.03641328,0.068362385
50,ALM,0.030014038,0.055390853
50,SQP,0.002562705,0.00655235
